symbol,security_id,exchange,segment,instrument
KAYNES SEP FUT,53283,NSE,D,FUTSTK
KEI SEP FUT,53285,NSE,D,FUTSTK
KFINTECH SEP FUT,53288,NSE,D,FUTSTK
KOTAKBANK SEP FUT,53360,NSE,D,FUTSTK
KPITTECH SEP FUT,53361,NSE,D,FUTSTK
LAURUSLABS SEP FUT,53362,NSE,D,FUTSTK
LICHSGFIN SEP FUT,53363,NSE,D,FUTSTK
LICI SEP FUT,53364,NSE,D,FUTSTK
LODHA SEP FUT,53365,NSE,D,FUTSTK
LT SEP FUT,53400,NSE,D,FUTSTK
LTF SEP FUT,53401,NSE,D,FUTSTK
LTIM SEP FUT,53410,NSE,D,FUTSTK
LUPIN SEP FUT,53411,NSE,D,FUTSTK
M&M SEP FUT,53412,NSE,D,FUTSTK
MANAPPURAM SEP FUT,53476,NSE,D,FUTSTK
MANKIND SEP FUT,53477,NSE,D,FUTSTK
MARICO SEP FUT,53492,NSE,D,FUTSTK
MARUTI SEP FUT,53493,NSE,D,FUTSTK
MAXHEALTH SEP FUT,53703,NSE,D,FUTSTK
MAZDOCK SEP FUT,53704,NSE,D,FUTSTK
MCX SEP FUT,53705,NSE,D,FUTSTK
MFSL SEP FUT,53706,NSE,D,FUTSTK
MOTHERSON SEP FUT,53707,NSE,D,FUTSTK
MPHASIS SEP FUT,53708,NSE,D,FUTSTK
MUTHOOTFIN SEP FUT,53709,NSE,D,FUTSTK
NATIONALUM SEP FUT,53710,NSE,D,FUTSTK
NAUKRI SEP FUT,53711,NSE,D,FUTSTK
NBCC SEP FUT,53714,NSE,D,FUTSTK
NCC SEP FUT,53715,NSE,D,FUTSTK
NESTLEIND SEP FUT,53720,NSE,D,FUTSTK
NHPC SEP FUT,53721,NSE,D,FUTSTK
NMDC SEP FUT,53746,NSE,D,FUTSTK
NTPC SEP FUT,53747,NSE,D,FUTSTK
NYKAA SEP FUT,53748,NSE,D,FUTSTK
OBEROIRLTY SEP FUT,53749,NSE,D,FUTSTK
OFSS SEP FUT,53750,NSE,D,FUTSTK
OIL SEP FUT,53751,NSE,D,FUTSTK
ONGC SEP FUT,53752,NSE,D,FUTSTK
PAGEIND SEP FUT,53753,NSE,D,FUTSTK
PATANJALI SEP FUT,53754,NSE,D,FUTSTK
PAYTM SEP FUT,53755,NSE,D,FUTSTK
PERSISTENT SEP FUT,53757,NSE,D,FUTSTK
PETRONET SEP FUT,53758,NSE,D,FUTSTK
PFC SEP FUT,53759,NSE,D,FUTSTK
PGEL SEP FUT,53765,NSE,D,FUTSTK
PHOENIXLTD SEP FUT,53766,NSE,D,FUTSTK
PIDILITIND SEP FUT,53769,NSE,D,FUTSTK
PIIND SEP FUT,53777,NSE,D,FUTSTK
PNB SEP FUT,53778,NSE,D,FUTSTK
PNBHOUSING SEP FUT,53779,NSE,D,FUTSTK
POLICYBZR SEP FUT,53781,NSE,D,FUTSTK
POLYCAB SEP FUT,53791,NSE,D,FUTSTK
POWERGRID SEP FUT,53792,NSE,D,FUTSTK
PPLPHARMA SEP FUT,53795,NSE,D,FUTSTK
PRESTIGE SEP FUT,53798,NSE,D,FUTSTK
RBLBANK SEP FUT,53802,NSE,D,FUTSTK
RECLTD SEP FUT,53803,NSE,D,FUTSTK
RELIANCE SEP FUT,53806,NSE,D,FUTSTK
RVNL SEP FUT,53807,NSE,D,FUTSTK
SAIL SEP FUT,53808,NSE,D,FUTSTK
SBICARD SEP FUT,53809,NSE,D,FUTSTK
SBILIFE SEP FUT,53812,NSE,D,FUTSTK
SBIN SEP FUT,53815,NSE,D,FUTSTK
SHREECEM SEP FUT,53833,NSE,D,FUTSTK
SHRIRAMFIN SEP FUT,53834,NSE,D,FUTSTK
SIEMENS SEP FUT,53835,NSE,D,FUTSTK
SOLARINDS SEP FUT,53836,NSE,D,FUTSTK
SONACOMS SEP FUT,53837,NSE,D,FUTSTK
SRF SEP FUT,53838,NSE,D,FUTSTK
SUNPHARMA SEP FUT,53839,NSE,D,FUTSTK
SUPREMEIND SEP FUT,53840,NSE,D,FUTSTK
SYNGENE SEP FUT,53851,NSE,D,FUTSTK
TATACHEM SEP FUT,53852,NSE,D,FUTSTK
TATACONSUM SEP FUT,53867,NSE,D,FUTSTK
TATAELXSI SEP FUT,53868,NSE,D,FUTSTK
TATAMOTORS SEP FUT,53869,NSE,D,FUTSTK
TATAPOWER SEP FUT,53877,NSE,D,FUTSTK
TATASTEEL SEP FUT,53883,NSE,D,FUTSTK
TATATECH SEP FUT,53891,NSE,D,FUTSTK
TCS SEP FUT,53892,NSE,D,FUTSTK
TECHM SEP FUT,53896,NSE,D,FUTSTK
TIINDIA SEP FUT,53899,NSE,D,FUTSTK
TITAGARH SEP FUT,53900,NSE,D,FUTSTK
TITAN SEP FUT,53901,NSE,D,FUTSTK
TORNTPHARM SEP FUT,53902,NSE,D,FUTSTK
TORNTPOWER SEP FUT,53906,NSE,D,FUTSTK
TRENT SEP FUT,53909,NSE,D,FUTSTK
TVSMOTOR SEP FUT,53911,NSE,D,FUTSTK
ULTRACEMCO SEP FUT,53912,NSE,D,FUTSTK
UNIONBANK SEP FUT,53913,NSE,D,FUTSTK
UNITDSPR SEP FUT,53914,NSE,D,FUTSTK
UNOMINDA SEP FUT,53915,NSE,D,FUTSTK
UPL SEP FUT,53918,NSE,D,FUTSTK
VBL SEP FUT,53919,NSE,D,FUTSTK
VEDL SEP FUT,53921,NSE,D,FUTSTK
VOLTAS SEP FUT,53923,NSE,D,FUTSTK
WIPRO SEP FUT,53924,NSE,D,FUTSTK
YESBANK SEP FUT,53925,NSE,D,FUTSTK
ZYDUSLIFE SEP FUT,53926,NSE,D,FUTSTK
SILVER SEP FUT,439488,MCX,M,FUTCOM
GOLD OCT FUT,440939,MCX,M,FUTCOM
CRUDEOIL SEP FUT,452373,MCX,M,FUTCOM
CRUDEOILM SEP FUT,452374,MCX,M,FUTCOM
NATURALGAS SEP FUT,452643,MCX,M,FUTCOM
NATURALGASM SEP FUT,452644,MCX,M,FUTCOM
CRUDEOIL OCT FUT,455865,MCX,M,FUTCOM
CRUDEOILM OCT FUT,455866,MCX,M,FUTCOM
NATURALGAS OCT FUT,456791,MCX,M,FUTCOM
NATURALGASM OCT FUT,456792,MCX,M,FUTCOM
SENSEX SEP  FUT,842364,BSE,D,FUTIDX
BANKEX SEP  FUT,842507,BSE,D,FUTIDX
SENSEX50 SEP  FUT,843108,BSE,D,FUTIDX
SENSEX OCT  FUT,861384,BSE,D,FUTIDX
BANKEX OCT  FUT,861473,BSE,D,FUTIDX
SENSEX50 OCT  FUT,861791,BSE,D,FUTIDX
BANKNIFTY OCT FUT,52145,NSE,D,FUTIDX
FINNIFTY OCT FUT,52146,NSE,D,FUTIDX
MIDCPNIFTY OCT FUT,52147,NSE,D,FUTIDX
NIFTY OCT FUT,52168,NSE,D,FUTIDX
NIFTYNXT50 OCT FUT,52169,NSE,D,FUTIDX
BANKNIFTY SEP FUT,52995,NSE,D,FUTIDX
FINNIFTY SEP FUT,52997,NSE,D,FUTIDX
MIDCPNIFTY SEP FUT,52998,NSE,D,FUTIDX
NIFTY SEP FUT,53001,NSE,D,FUTIDX
NIFTYNXT50 SEP FUT,53002,NSE,D,FUTIDX
BANKNIFTY AUG FUT,64100,NSE,D,FUTIDX
FINNIFTY AUG FUT,64101,NSE,D,FUTIDX
MIDCPNIFTY AUG FUT,64102,NSE,D,FUTIDX
NIFTY AUG FUT,64103,NSE,D,FUTIDX
NIFTYNXT50 AUG FUT,64104,NSE,D,FUTIDX
GOLD DEC FUT,445003,MCX,M,FUTCOM
SILVER SEP FUT,439488,MCX,M,FUTCOM
SILVERM NOV FUT,440938,MCX,M,FUTCOM
SILVER DEC FUT,445004,MCX,M,FUTCOM
GOLDM SEP FUT,458697,MCX,M,FUTCOM
GOLDM OCT FUT,463393,MCX,M,FUTCOM

